Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-000777,Drug Violation,07/25/17 1440,07/25/17 1440,07/25/17 1440,Armory Building,Open
17-000778,Drug Violation,07/25/17 1440,07/25/17 1440,07/25/17 1440,Armory Building,Open
17-000782,Drug Violation,07/26/17 1649,07/26/17 1649,07/26/17 1649,Armory Building,Open
17-000783,Theft,07/26/17 1700,NA,07/26/17 1700,General Services Building,Open
17-000784,Operating While Intoxicated / Unlawful use of License,07/27/17 0057,07/27/17 0057,07/27/17 0057,Mortensen Road and South Dakota Avenue,Arrest
17-000790,Harassment,07/27/17 2230,07/27/17 2230,07/27/17 2230,1425 Coconino Road,Open
17-000793,Theft,07/30/17 2036,NA,07/30/17 2036,4200 Maricopa Drive,Open
17-000794,Driving Violation / False Information,07/31/17 0108,07/31/17 0108,07/31/17 0108,North Dakota Avenue and Timber Ridge Drive,Arrest
17-000796,Drug Violation,07/31/17 0844,07/31/17 0844,07/31/17 0844,Armory Building,Open
17-000797,Vandalism,07/31/17 1119,NA,07/31/17 1119,Veenker Golf Course,Open
17-000798,Drug Violation,07/31/17 1837,07/31/17 1837,07/31/17 1837,Armory Building,Open
17-000799,Theft,07/31/17 1948,NA,07/31/17 1948,Helser Hall,Open
17-000800,Theft,08/01/17 0849,NA,08/01/17 0849,Eaton Hall,Open
17-000802,Drug Violation,08/01/17 1403,08/01/17 1403,08/01/17 1403,Armory Building,Open
17-000803,Operating while Intoxicated,08/02/17 0249,08/02/17 0249,08/02/17 0249,Beach Avenue and Lincoln Way,Arrest
17-000805,Driving Violation,08/02/17 0950,08/02/17 0950,08/02/17 0950,Storm Street and Welch Avenue,Arrest
17-000806,Assault,08/03/17 0021,08/03/17 0021,09/15/17 1548,35 Frederiksen Court,Arrest
17-000807,Theft,08/03/17 1902,NA,08/03/17 1902,62 Frederiksen Court,Open
17-000808,Operating while Intoxicated,08/04/17 0302,08/04/17 0302,08/04/17 0302,Hyland Avenue and West Street,Arrest
17-000809,Vandalism,08/04/17 1555,NA,08/04/17 1555,Veenker Golf Course,Open
17-000810,Criminal Trespass,08/04/17 2353,08/04/17 2353,08/04/17 2353,Veenker Golf Course,Arrest
17-000812,Drug Violation/Driving Violation,08/05/17 2231,08/05/17 2231,08/05/17 2231,826 Dickinson Apartments,Arrest
17-000813,Operating while Intoxicated,08/06/17 0025,08/06/17 0025,08/06/17 0025,Mortensen Road and State Avenue,Arrest
17-000814,Operating while Intoxicated,08/06/17 0329,08/06/17 0329,08/06/17 0329,Lincoln Way and North Hazel Avenue,Arrest
17-000815,Drug Violation,08/07/17 0032,08/07/17 0032,08/07/17 0032,Lincoln Way and North Hazel Avenue,Arrest
17-000816,Vandalism,08/08/17 0254,NA,08/08/17 0254,Friley Hall,Open
17-000819,Theft,08/08/17 1354,NA,08/08/17 1354,Curtiss Hall,Open
17-000820,Operating while Intoxicated / Drug Violation,08/09/17 2345,08/09/17 2345,08/09/17 2345,2508 Mortensen Road,Arrest
17-000821,Public Intoxication,08/10/17 0118,08/10/17 0118,08/10/17 0118,2401 Chamberlain Street,Arrest
17-000822,Drug Violation,08/10/17 1456,08/10/17 1456,08/10/17 1456,Armory Building,Open
17-000823,Disorderly Conduct,08/11/17 0235,08/11/17 0235,08/11/17 0235,119 Stanton Avenue,Arrest
17-000825,Drug Violation,08/11/17 1143,08/11/17 1143,08/11/17 1143,Armory Building,Open
17-000827,Operating while Intoxicated,08/12/17 0115,08/12/17 0115,08/12/17 0115,Mortensen Road and State Avenue,Arrest
17-000828,Operating while Intoxicated,08/12/17 0211,08/12/17 0211,08/12/17 0211,Hyland Avenue and Ross Road,Arrest
17-000829,Vandalism,08/12/17 0639,NA,08/12/17 0639,1022 Welch Avenue,Open
17-000830,Drug Violation,08/12/17 1119,08/12/17 1119,08/12/17 1119,1406 Mayfield Drive,Open
17-000831,Vandalism,08/12/17 1902,NA,08/12/17 1902,119 Stanton Avenue,Open
17-000832,Operating while Intoxicated,08/12/17 2219,08/12/17 2219,08/12/17 2219,1000 block Haber Road,Arrest
17-000833,Operating while Intoxicated,08/13/17 0039,08/13/17 0039,08/13/17 0039,1191 University Boulevard,Arrest
17-000834,Operating while Intoxicated,08/13/17 0152,08/13/17 0152,08/13/17 0152,Lincoln Way and Marshall Avenue,Arrest
17-000835,Public Intoxication,08/13/17 0233,08/13/17 0233,08/13/17 0233,Lot 61B,Arrest
17-000836,Harassment,08/13/17 1124,08/13/17 1124,08/13/17 1124,171 University Village,Open
17-000838,Theft,08/14/17 1341,08/14/17 0000,08/28/14 1459,Lot 50B,Unfounded
17-000839,Drug Violation,08/14/17 1803,08/14/17 1803,08/14/17 1803,Armory Building,Arrest
17-000840,Driving Violation,08/15/17 0716,08/15/17 0716,08/15/17 0716,13th Street and Haber Road,Arrest
17-000843,Drug Violation,08/15/17 1543,08/15/17 1543,08/15/17 1543,Wilson Hall,Arrest
17-000844,Drug Violation/Alcohol Violation,08/15/17 2155,08/15/17 2155,08/15/17 2155,Willow Hall,Arrest
17-000846,Harassment,08/16/17 0025,08/16/17 0025,08/16/17 0025,Buchanan Hall,Open
17-000848,Drug Violation,08/16/17 1602,08/16/17 1602,08/16/17 1602,Armory Building,Open
17-000849,burglary,08/16/17 1810,NA,08/16/17 1810,4120 Maricopa Drive,Open
17-000850,Harassment,08/16/17 2041,08/16/17 2041,08/16/17 2041,Geoffroy Hall,Open
17-000851,Harassment,08/16/17 2212,08/16/17 2212,08/16/17 2212,63 Frederiksen Court,Open
17-000852,Operating while Intoxicated,08/17/17 0213,08/17/17 0213,08/17/17 0213,Mortensen Road and State Avenue,Arrest
17-000853,Operating while Intoxicated,08/17/17 0225,08/17/17 0225,08/17/17 0225,US Highway 30 West,Arrest
17-000854,Public Intoxication,08/17/17 0227,08/17/17 0227,08/17/17 0227,Friley Hall,Arrest
17-000855,Public Intoxication,08/17/17 0333,08/17/17 0333,08/17/17 0333,Morrill Road and Union Drive,Arrest
17-000856,burglary,08/17/17 1400,NA,08/17/17 1400,3911 Maricopa Drive,Open
17-000857,Drug Violation,08/17/17 1846,08/17/17 1846,08/17/17 1846,1308 Walton Drive,Arrest
17-000858,Hit and Run,08/17/17 1917,08/17/17 0000,08/17/17 1917,Lot 26,Open
17-000862,Operating while Intoxicated /Drug Violation /Alcohol Violation,08/17/17 2346,08/17/17 2346,08/17/17 2346,Lincoln Way and Stanton Avenue,Arrest
17-000863,Public Intoxication,08/18/17 1623,08/18/17 1623,08/18/17 1623,Beach Avenue and Greeley street,Arrest
17-000864,Drug Violation / Alcohol Violation,08/18/17 2127,08/18/17 2127,08/18/17 2127,Gray Avenue and Sunset Drive,Arrest
17-000865,Public Intoxication,08/18/17 2251,08/18/17 2251,08/18/17 2251,153 Hyland Avenue,Arrest
17-000866,Vandalism,08/18/17 2321,NA,08/18/17 2321,Friley Hall,Open
17-000867,Disorderly Conduct,08/19/17 0053,08/19/17 0053,08/19/17 0053,Geoffroy Hall,Open
17-000869,Public Intoxication,08/19/17 0127,08/19/17 0127,08/19/17 0127,Wallace Hall,Arrest
17-000868,Public Intoxication,08/19/17 0134,08/19/17 0134,08/19/17 0134,Lettie Street and State Avenue,Arrest
17-000870,Public Intoxication,08/19/17 0308,08/19/17 0308,08/19/17 0308,South 4th Street and South Hazel Avenue,Arrest
17-000871,Harassment,08/19/17 1015,08/19/17 1015,08/19/17 1015,Maple Hall,Open
17-000872,Alcohol Violation,08/19/17 1045,08/19/17 1045,08/19/17 1045,Knapp Street and Lynn Avenue,Arrest
17-000873,Alcohol Violation,08/19/17 1056,08/19/17 1056,08/19/17 1056,Knapp Street and Stanton Avenue,Arrest
17-000874,Alcohol Violation,08/19/17 1108,08/19/17 1108,08/19/17 1108,Knapp Street and Lynn Avenue,Arrest
17-000875,Alcohol Violation,08/19/17 1117,08/19/17 1117,08/19/17 1117,2327 Knapp Street,Arrest
17-000876,Alcohol Violation,08/19/17 1124,08/19/17 1124,08/19/17 1124,2327 Knapp Street,Arrest
17-000877,Alcohol Violation,08/19/17 1208,08/19/17 1208,08/19/17 1208,Chamberlain Street and Lynn Avenue,Arrest
17-000878,Alcohol Violation,08/19/17 1233,08/19/17 1233,08/19/17 1233,Knapp Street and Welch Avenue,Arrest
17-000879,Alcohol Violation,08/19/17 1304,08/19/17 1304,08/19/17 1304,Lincoln Way and Welch Avenue,Arrest
17-000880,Public Intoxication,08/19/17 1414,08/19/17 1414,08/19/17 1414,2227 Knapp Street,Arrest
17-000882,Drug Violation,08/19/17 1913,08/19/17 1913,08/19/17 1913,Chamberlain Street and Stanton Avenue,Arrest
17-000883,Public Intoxication,08/20/17 0033,08/20/17 0033,08/20/17 0033,Pearson Avenue and Sunset Drive,Arrest
17-000884,Theft,08/20/17 0119,08/20/17 0119,08/20/17 0119,Memorial Union Parking Ramp,Open
17-000885,Drug Violation,08/20/17 0223,08/20/17 0223,08/20/17 0223,Geoffroy Hall,Arrest
17-000886,Public Intoxication,08/20/17 0316,08/20/17 0316,08/20/17 0316,516 Welch Avenue,Arrest
17-000887,Public Intoxication,08/20/17 0509,08/20/17 0509,08/20/17 0509,Martin hall,Arrest
17-000888,Drug Violation,08/20/17 1935,08/20/17 1935,08/20/17 1935,Arboretum,Open
17-000889,Drug Violation,08/21/17 1426,08/21/17 1426,08/21/17 1426,Armory Building,Open
17-000891,Drug Violation / Public Intoxication,08/22/17 0058,08/22/17 0058,08/22/17 0058,Lot 61B,Arrest
17-000892,Drug Violation,08/22/17 1211,08/22/17 1211,08/22/17 1211,General Services Building,Open
17-000893,Hit and Run,08/22/17 1238,NA,08/22/17 1238,Lot S2,Open
17-000894,Theft,08/22/17 1315,NA,08/22/17 1315,Armory Building,Open
17-000895,Drug Violation,08/22/17 1954,08/22/17 1954,08/22/17 1954,Armory Building,Open
17-000897,Drug Violation / Alcohol Violation,08/22/17 2329,08/22/17 2329,08/22/17 2329,Maple Hall,Arrest
17-000900,Drug Violation,08/23/17 1122,08/23/17 1122,08/23/17 1122,Armory Building,Open
17-000904,Operating while Intoxicated,08/24/17 0043,08/24/17 0043,08/24/17 0043,Mortensen Road and Seagrave Boulevard,Arrest
17-000905,Operating while Intoxicated / Drug Violation,08/24/17 0133,08/24/17 0133,08/24/17 0133,State Avenue and Wood Street,Arrest
17-000907,Theft,08/24/17 0944,NA,08/24/17 0944,520 Morrill Road,Open
17-000908,Driving Violation,08/24/17 1021,08/24/17 1021,08/24/17 1021,2650 Lincoln Way,Arrest
17-000909,Public Intoxication,08/24/17 2236,08/24/17 2236,08/24/17 2236,Ash Avenue and Lincoln Way,Arrest
17-000910,Public Intoxication,08/24/17 2257,08/24/17 2257,08/24/17 2257,Ash Avenue and Lincoln Way,Arrest
17-000911,Public Intoxication,08/24/17 2358,08/24/17 2358,08/24/17 2358,Knapp Street and Welch Avenue,Arrest
17-000912,Public Intoxication,08/25/17 0110,08/25/17 0110,08/25/17 0110,2320 Chamberlain Street,Arrest
17-000913,Operating while Intoxicated,08/25/17 0115,08/25/17 0115,08/25/17 0115,South 16th Street and University Boulevard,Arrest
17-000914,Public Intoxication,08/25/17 0136,08/25/17 0136,08/25/17 0136,Memorial Union,Arrest
17-000915,Public Intoxication,08/25/17 0208,08/25/17 0208,08/25/17 0208,Lot 59A,Arrest
17-000916,Public Intoxication,08/25/17 0538,08/25/17 0538,08/25/17 0538,Lot 59E,Arrest
17-000919,Public Intoxication,08/25/17 1153,08/25/17 1153,08/25/17 1153,Bissell Road and Union Drive,Arrest
17-000922,Alcohol Violation,08/25/17 2143,08/25/17 2143,08/25/17 2143,Union Drive and Wallace Road,Arrest
17-000921,Public Intoxication,08/25/17 2158,08/25/17 2158,08/25/17 2158,Union Drive and Wallace Road,Arrest
17-000923,Alcohol Violation,08/26/17 0017,08/26/17 0017,08/26/17 0017,Lake LaVerne,Arrest
17-000924,Vandalism,08/26/17 0049,NA,08/26/17 0049,Lot 85E,Open
17-000926,Hit and Run,08/26/17 1558,08/26/17 0000,08/26/17 1558,Ames Intermodel Facility,Open
17-000928,Alcohol Violation,08/26/17 2142,08/26/17 2142,08/26/17 2142,520 Morrill Road,Arrest
17-000929,Public Intoxication,08/26/17 2307,08/26/17 2307,08/26/17 2307,Beardshear Hall,Arrest
17-000930,Operating while Intoxicated / Drug Violation / Alcohol Violation,08/27/17 0129,08/27/17 0129,08/27/17 0129,Lincoln Way and Morrill Road,Arrest
17-000931,Public Intoxication,08/27/17 0206,08/27/17 0206,08/27/17 0206,119 Stanton Avenue,Arrest
17-000933,Theft,08/27/17 1813,NA,08/27/17 1813,63 Frederiksen Court,Open
17-000935,Theft,08/28/17 0820,NA,08/28/17 0820,Ann Campbell Transit Station,Open
17-000937,Theft,08/28/17 1553,NA,08/28/17 1553,Friley Hall,Open
17-000938,Hit and Run,08/28/17 1712,NA,08/28/17 1712,Lot 93,Open
17-000940,Drug Violation,08/28/17 2043,08/28/17 2043,08/28/17 2043,Hayward Avenue and Mortensen Road,Arrest
17-000941,Driving Violation,08/29/17 0015,08/29/17 0015,08/29/17 0015,Mortensen Road and Pinon Drive,Open
17-000943,Theft,08/29/17 1947,08/29/17 0000,08/29/17 1947,Lied Recreation Center,Open
17-000944,Theft,08/30/17 1039,NA,08/30/17 1039,1022 Welch Avenue,Open
17-000945,Theft,08/30/17 1338,NA,08/30/17 1338,Lot 63,Open
17-000947,Harassment,08/31/17 0930,08/31/17 0930,08/31/17 0930,Veterinary Medicine,Open
17-000948,Theft,08/31/17 1047,NA,08/31/17 1047,Parks Library,Open
17-000951,Harassment,08/31/17 2028,08/31/17 2028,08/31/17 2028,Gerdin Business Building,Open
17-000953,Operating while Intoxicated,09/01/17 0200,09/01/17 0200,09/01/17 0200,Mortensen Road and State Avenue,Arrest
17-000952,Public Intoxication / Unlawful Use of License,09/01/17 0206,09/01/17 0206,NA,Hyland Avenue and West Street,Arrest
17-000954,Public Intoxication,09/01/17 0228,09/01/17 0228,09/01/17 0228,Scheman Building,Arrest
17-000956,Theft,09/01/17 0934,NA,09/01/17 0934,Buchanan Hall,Open
17-000958,Theft,09/01/17 1347,NA,09/01/17 1347,Plant Introduction Farm,Open
17-000960,Theft,09/01/17 1544,09/01/17 1544,09/01/17 1544,Parks Library,Open
17-000962,Alcohol Violation,09/01/17 2138,09/01/17 2138,09/01/17 2138,Knapp Street and Welch Avenue,Arrest
17-000963,Alcohol Violation,09/01/17 2218,09/01/17 2218,09/01/17 2218,Linden Hall,Arrest
17-000964,Harassment,09/01/17 2227,09/01/17 2227,09/01/17 2227,Lot 61C,Open
17-000965,Public Intoxication,09/01/17 2257,09/01/17 2257,09/01/17 2257,Molecular Biology Building,Arrest
17-000967,Public Intoxication,09/02/17 0153,09/02/17 0153,09/02/17 0153,State Gymnasium,Arrest
17-000969,Public Intoxication,09/02/17 0212,09/02/17 0212,09/02/17 0212,Lot 7,Arrest
17-000968,Operating while Intoxicated,09/02/17 0222,09/02/17 0222,09/02/17 0222,Lot 50B,Arrest
17-000971,Alcohol Violation,09/02/17 1414,09/02/17 1414,09/02/17 1414,Lot G3,Arrest
17-000973,Alcohol Violation,09/02/17 1435,09/02/17 1435,09/02/17 1435,Lot G3,Arrest
17-000972,Alcohol Violation,09/02/17 1439,09/02/17 1439,09/02/17 1439,Lot G2,Arrest
17-000974,Alcohol Violation,09/02/17 1455,09/02/17 1455,09/02/17 1455,Lot G2,Arrest
17-000975,Alcohol Violation,09/02/17 1514,09/02/17 1514,09/02/17 1514,Lot G2,Arrest
17-000976,Alcohol Violation,09/02/17 1547,09/02/17 1547,09/02/17 1547,Lot G6,Arrest
17-000979,Alcohol Violation,09/02/17 1554,09/02/17 1554,09/02/17 1554,Lot G6,Arrest
17-000978,Alcohol Violation,09/02/17 1556,09/02/17 1556,09/02/17 1556,Lot C1,Arrest
17-000977,Alcohol Violation,09/02/17 1601,09/02/17 1601,09/02/17 1601,Lot G7,Arrest
17-000981,Alcohol Violation,09/02/17 1606,09/02/17 1606,09/02/17 1606,Lot C4,Arrest
17-000980,theft,09/02/17 1614,09/02/17 1614,09/02/17 1614,Lot G5,Open
17-000982,Alcohol Violation,09/02/17 1620,09/02/17 1620,09/02/17 1620,Lot G3,Arrest
17-000983,Alcohol Violation,09/02/17 1623,09/02/17 1623,09/02/17 1623,Lot S2,Arrest
17-000987,Alcohol Violation / Interference,09/02/17 1640,09/02/17 1640,09/02/17 1640,Lot G3,Arrest
17-000985,Alcohol Violation,09/02/17 1641,09/02/17 1641,09/02/17 1641,Lot G3,Arrest
17-000986,Public Intoxication,09/02/17 1645,09/02/17 1645,09/02/17 1645,Lot G3,Arrest
17-000988,Alcohol Violation,09/02/17 1713,09/02/17 1713,09/02/17 1713,Lot G3,Arrest
17-000989,Alcohol Violation,09/02/17 1728,09/02/17 1728,09/02/17 1728,Lot G3,Arrest
17-000990,Alcohol Violation,09/02/17 1730,09/02/17 1730,09/02/17 1730,Lot G3,Arrest
17-000992,Public Intoxication,09/02/17 1738,09/02/17 1738,09/02/17 1738,Lot G2,Arrest
17-000991,Alcohol Violation/Unlawful Use of License,09/02/17 1740,09/02/17 1740,09/02/17 1740,Lot G3,Arrest
17-000993,Alcohol Violation,09/02/17 1752,09/02/17 1752,09/02/17 1752,Lot G3,Arrest
17-000995,Public Intoxication,09/02/17 1752,09/02/17 1752,09/02/17 1752,Kildee Hall,Arrest
17-000994,Alcohol Violation,09/02/17 1755,09/02/17 1755,09/02/17 1755,Log S6,Arrest
17-000996,Alcohol Violation,09/02/17 1809,09/02/17 1809,09/02/17 1809,Lot G2,Arrest
17-000997,Alcohol Violation,09/02/17 1830,09/02/17 1830,09/02/17 1830,Lot G3,Arrest
17-000998,Alcohol Violation,09/02/17 1844,09/02/17 1844,09/02/17 1844,Lot G3,Arrest
17-001002,Operating While Intoxicated,09/02/17 1859,09/02/17 1859,09/02/17 1859,Lot G2,Arrest
17-000999,Alcohol Violation,09/02/17 1900,09/02/17 1900,09/02/17 1900,Lot G3,Arrest
17-001000,Alcohol Violation,09/02/17 1907,09/02/17 1907,09/02/17 1907,Lot G3,Arrest
17-001003,Public Intoxication,09/02/17 1914,09/02/17 1914,09/02/17 1914,South 4th Street and Access to Ball Diamond,Arrest
17-001004,Alcohol Violation,09/02/17 1936,09/02/17 1936,09/02/17 1936,Lot G3,Arrest
17-001005,Public Intoxication,09/02/17 1940,09/02/17 1940,09/02/17 1940,Lot C4,Arrest
17-001006,Alcohol Violation,09/02/17 1952,09/02/17 1952,09/02/17 1952,Lot S3,Arrest
17-001008,Public Intoxication,09/02/17 1958,09/02/17 1958,09/02/17 1958,South 4th Street and University Boulevard,Arrest
17-001007,Alcohol Violation,09/02/17 2003,09/02/17 2003,09/02/17 2003,Lot G3,Arrest
17-001009,Alcohol Violation,09/02/17 2013,09/02/17 2013,09/02/17 2013,Lot G3,Arrest
17-001011,Alcohol Violation,09/02/17 2033,09/02/17 2033,09/02/17 2033,Lot 85E,Arrest
17-001012,Alcohol Violation,09/02/17 2048,09/02/17 2048,09/02/17 2048,Lot G3,Arrest
17-001014,Alcohol Violation,09/02/17 2107,09/02/17 2107,09/02/17 2107,Lot G3,Arrest
17-001015,Public Intoxication,09/02/17 2125,09/02/17 2125,09/02/17 2125,South 16th Street and University Boulevard,Arrest
17-001016,Transient Merchant Violation,09/02/17 2210,09/02/17 2210,09/02/17 2210,Jack Trice Football Stadium,Arrest
17-001017,Assault,09/02/17 2328,09/02/17 2328,09/02/17 2328,Lot B4,Open
17-001018,Driving Violation,09/03/17 1014,09/03/17 1014,09/03/17 1014,South 16th Street and University Boulevard,Arrest
17-001019,Theft,09/03/17 1101,NA,09/03/17 1101,Frederiksen Court,Open
17-001021,Public Intoxication,09/04/17 0023,09/04/17 0023,09/04/17 0023,500 block of Welch Avenue,Arrest
17-001022,burglary,09/04/17 1043,NA,09/04/17 1043,83 Frederiksen Court,Open
17-001024,Drug Violation,09/04/17 2321,09/04/17 2321,09/04/17 2321,Helser Hall,Arrest
17-001025,Criminal Trespass,09/05/17 0002,09/05/17 0002,09/05/17 0002,Haber Road and North University Boulevard,Arrest
17-001026,Drug Violation / Driving Violation,09/05/17 0148,09/05/17 0148,09/05/17 0148,3800 Lincoln Way,Arrest
17-001027,Vandalism,09/05/17 1710,NA,09/05/17 1710,Birch Hall,Open
17-001028,Operating while Intoxicated,09/06/17 0218,09/06/17 0218,09/06/17 0218,Bird Manor Apartments,Arrest
17-001029,Drug Violation,09/06/17 1258,09/06/17 1258,09/06/17 1258,Armory Building,Open
17-001031,Fraud,09/06/17 1528,NA,09/06/17 1528,Beardshear Hall,Open
17-001032,Theft,09/06/17 1705,NA,09/06/17 1705,Parks Library,Open
17-001033,Public Intoxication,09/07/17 0156,09/07/17 0156,09/07/17 0156,Chamberlain Place and Hunt Street,Arrest
17-001036,Harassment,09/07/17 1201,09/07/17 1201,09/07/17 1201,Atanasoff Hall,Open
17-001039,Theft,09/07/17 1925,NA,09/07/17 1925,Wilson Hall,Open
17-001040,Vandalism,09/07/17 2011,NA,09/07/17 2011,Friley Hall,Open
17-001041,Drug Violation,09/07/17 2105,09/07/17 2105,09/07/17 2105,Lot 63,Arrest
17-001042,Harassment,09/08/17 1524,09/08/17 1524,09/08/17 1524,Lied Recreation Center,Open
17-001043,Alcohol Violation,09/08/17 2058,09/08/17 2058,09/08/17 2058,Ash Avenue and Gable Lane,Arrest
17-001045,Public Intoxication,09/09/17 0017,09/09/17 0017,09/09/17 0017,Lot 21,Arrest
17-001046,Public Intoxication,09/09/17 0126,09/09/17 0126,09/09/17 0126,Arbor Street and State Avenue,Arrest
17-001047,Public Intoxication,09/09/17 0215,09/09/17 0215,09/09/17 0215,405 Hayward Avenue,Arrest
17-001048,Public Intoxication,09/09/17 0257,09/09/17 0257,09/09/17 0257,Communications Building,Arrest
17-001049,Alcohol Violation,09/09/17 0632,09/09/17 0632,09/09/17 0632,Lot G3,Arrest
17-001050,Alcohol Violation,09/09/17 0642,09/09/17 0642,09/09/17 0642,Lot G3,Arrest
17-001051,Alcohol Violation,09/09/17 0653,09/09/17 0653,09/09/17 0653,Lot G3,Arrest
17-001052,Alcohol Violation,09/09/17 0715,09/09/17 0715,09/09/17 0715,Lot G2,Arrest
17-001053,Alcohol Violation,09/09/17 0738,09/09/17 0738,09/09/17 0738,Lot G3,Arrest
17-001054,Alcohol Violation,09/09/17 0743,09/09/17 0743,09/09/17 0743,Lot S5,Arrest
17-001055,Alcohol Violation,09/09/17 0813,09/09/17 0813,09/09/17 0813,Lot G7,Arrest
17-001056,Alcohol Violation,09/09/17 0822,09/09/17 0822,09/09/17 0822,Lot S7,Arrest
17-001057,Alcohol Violation / False Identification,09/09/17 0842,09/09/17 0842,09/09/17 0842,South 4th Street and University Boulevard,Arrest
17-001058,Alcohol Violation,09/09/17 0848,09/09/17 0848,09/09/17 0848,Lot C6,Arrest
17-001059,Alcohol Violation,09/09/17 0851,09/09/17 0851,09/09/17 0851,Lot G3,Arrest
17-001061,Alcohol Violation,09/09/17 0901,09/09/17 0901,09/09/17 0901,Lot C6,Arrest
17-001060,Alcohol Violation,09/09/17 0905,09/09/17 0905,09/09/17 0905,Lot G3,Arrest
17-001063,Alcohol Violation,09/09/17 0910,09/09/17 0910,09/09/17 0910,Lot G3,Arrest
17-001062,Alcohol Violation,09/09/17 0912,09/09/17 0912,09/09/17 0912,Lot C6,Arrest
17-001064,Alcohol Violation,09/09/17 0914,09/09/17 0914,09/09/17 0914,Lot G3,Arrest
17-001074,Domestic Dispute,09/09/17 0915,09/09/17 0915,09/09/17 0915,171 University Village,Open
17-001066,Alcohol Violation,09/09/17 0919,09/09/17 0919,09/09/17 0919,Lot G3,Arrest
17-001065,Alcohol Violation,09/09/17 0920,09/09/17 0920,09/09/17 0920,Lot C4,Arrest
17-001067,Alcohol Violation,09/09/17 0927,09/09/17 0927,09/09/17 0927,Lot G3,Arrest
17-001069,Alcohol Violation,09/09/17 0932,09/09/17 0932,09/09/17 0932,Lot G3,Arrest
17-001068,Alcohol Violation / Unlawful Use of License,09/09/17 0934,09/09/17 0934,09/09/17 0934,Lot C4,Arrest
17-001070,Alcohol Violation,09/09/17 0939,09/09/17 0939,09/09/17 0939,Lot G3,Arrest
17-001073,Alcohol Violation,09/09/17 0942,09/09/17 0942,09/09/17 0942,Lot G3,Arrest
17-001071,Alcohol Violation/Unlawful Use of License / False Information,09/09/17 0944,09/09/17 0944,09/09/17 0944,Lot G2,Arrest
17-001072,Alcohol Violation,09/09/17 0951,09/09/17 0951,09/09/17 0951,Lot C4,Arrest
17-001076,Alcohol Violation,09/09/17 0952,09/09/17 0952,09/09/17 0952,Lot B5,Arrest
17-001075,Public Intoxication,09/09/17 0955,09/09/17 0955,09/09/17 0955,Jack Trice Football Stadium,Arrest
17-001077,Alcohol Violation,09/09/17 1000,09/09/17 1000,09/09/17 1000,Lot G4,Arrest
17-001078,Alcohol Violation,09/09/17 1004,09/09/17 1004,09/09/17 1004,Lot C5,Arrest
17-001079,Alcohol Violation,09/09/17 1008,09/09/17 1008,09/09/17 1008,Lot B5,Arrest
17-001080,Alcohol Violation,09/09/17 1019,09/09/17 1019,09/09/17 1019,Lot G3,Arrest
17-001081,Alcohol Violation,09/09/17 1022,09/09/17 1022,09/09/17 1022,Lot B5,Arrest
17-001083,Alcohol Violation,09/09/17 1023,09/09/17 1023,09/09/17 1023,Lot C5,Arrest
17-001082,Alcohol Violation,09/09/17 1027,09/09/17 1027,09/09/17 1027,Lot G3,Arrest
17-001084,Alcohol Violation,09/09/17 1032,09/09/17 1032,09/09/17 1032,Lot G3,Arrest
17-001085,Alcohol Violation,09/09/17 1035,09/09/17 1035,09/09/17 1035,Lot G3,Arrest
17-001087,Alcohol Violation,09/09/17 1036,09/09/17 1036,09/09/17 1036,Lot G3,Arrest
17-001086,Alcohol Violation,09/09/17 1041,09/09/17 1041,09/09/17 1041,Lot B3,Arrest
17-001088,Alcohol Violation,09/09/17 1052,09/09/17 1052,09/09/17 1052,Lot B5,Arrest
17-001092,Public Intoxication,09/09/17 1052,09/09/17 1052,09/09/17 1052,South 16th Street and University Boulevard,Arrest
17-001090,Alcohol Violation,09/09/17 1058,09/09/17 1058,09/09/17 1058,Lot A3,Arrest
17-001089,Alcohol Violation,09/09/17 1102,09/09/17 1102,09/09/17 1102,Lot G3,Arrest
17-001091,Alcohol Violation,09/09/17 1110,09/09/17 1110,09/09/17 1110,Lot B5,Arrest
17-001093,Alcohol Violation,09/09/17 1114,09/09/17 1114,09/09/17 1114,Lot G3,Arrest
17-001094,Alcohol Violation,09/09/17 1116,09/09/17 1116,09/09/17 1116,Lot G3,Arrest
17-001095,Alcohol Violation,09/09/17 1118,09/09/17 1118,09/09/17 1118,Lot G2,Arrest
17-001096,Alcohol Violation,09/09/17 1119,09/09/17 1119,09/09/17 1119,Lot B4,Arrest
17-001097,Alcohol Violation,09/09/17 1123,09/09/17 1123,09/09/17 1123,Lot G2,Arrest
17-001101,Assault,09/09/17 1139,09/09/17 1139,09/09/17 1139,Lot G2,Open
17-001099,Public Intoxication,09/09/17 1143,09/09/17 1143,09/09/17 1143,Lot G3,Arrest
17-001098,Alcohol Violation,09/09/17 1144,09/09/17 1144,09/09/17 1144,Lot G3,Arrest
17-001100,Public Intoxication / Alcohol Violation,09/09/17 1144,09/09/17 1144,09/09/17 1144,Lot G2,Arrest
17-001102,Public Intoxication,09/09/17 1152,09/09/17 1152,09/09/17 1152,Lot G3,Arrest
17-001103,Alcohol Violation,09/09/17 1216,09/09/17 1216,09/09/17 1216,Lot S5,Arrest
17-001104,Alcohol Violation,09/09/17 1225,09/09/17 1225,09/09/17 1225,Lot G2,Arrest
