"Date","Opponent","Home"
"9/2/17","Northern Iowa","Home"
"9/9/17","Iowa","Home"
"9/16/17","Akron","Away"
"9/28/17","Texas","Home"
"10/7/17","Oklahoma","Away"
"10/14/17","Kansas","Home"
"10/21/17","Texas Tech","Away"
"10/28/17","TCU","Home"
"11/4/17","West Virginia","Away"
"11/11/17","Oklahoma State","Home"
"11/18/17","Baylor","Away"
"11/25/17","Kansas State","Away"
