Game,ID,Month,Day,foo,Hour,Min,AMPM,home,Year
1,,Sep,1,Sat,7,0,m,Home,2018
2,,Sep,8,Sat,4,0,PM,Away,2018
3,,Sep,15,Sat,11,0,AM,Home,2018
4,,Sep,22,Sat,11,0,AM,Home,2018
5,,Sep,29,Sat,6,0,PM,Away,2018
6,,Oct,6,Sat,2,30,PM,Away,2018
7,,Oct,13,Sat,6,0,PM,Home,2018
8,,Oct,27,Sat,11,0,AM,Home,2018
9,,Nov,3,Sat,11,0,AM,Away,2018
10,,Nov,10,Sat,2,30,PM,Home,2018
11,,Nov,17,Sat,7,0,PM,Away,2018
12,,Nov,24,Sat,6,0,PM,Home,2018
13,,Dec,1,Sat,11,0,AM,Home,2018
